CaseNumber,Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,PRSM,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Loan.Type,Loan.Size.Class,FICO,Years.In.Business,Num.of.Credit.Lines,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,State,ISO.Name
395115647,4536390,10400,12896,703.5344,12.5,1539.2,6869.34,6869.33333,O,S2,568,20,10,3,6,1,LLC,0,0,59,Miscellaneous Retail Stores,45096,257500,31571,IL,Credit Divas
393812884,5537,10000,12750,0.8685,12.5,1782.5,8476,6838.8,R,S2,446,5,19,4,15,3,S-Corp,1,4,56,Apparel and Accessory Stores,45015,121900,35227,NC,Credit Divas
86910500,5810,19200,22848,0.5086,12.5,2649.6,15213.66,15213.6667,O,S2,597,5,27,20,0,8,LLC,2,8,73,Business Services,11293,123300,38893,SC,Credit Divas
78714775,44830,81000,96390,0.9302,12.5,11178,63847.6,63847.6,O,S4,568,22,37,28,1,12,S-Corp,1,0,58,Eating and Drinking Places,10085,214100,43914,DE,Credit Divas
324210423,5359,11800,14042,0.7633,12.5,1302.72,9306,9839.5,R,S2,475,10,11,1,8,0,LLC,1,0,58,Eating and Drinking Places,34547,98900,26955,MO,Credit Divas
127913336,33415,52800,62040,1.0772,10,4276.8,59319.2,59317.845,O,S4,655,5,31,20,0,3,LLC,0,0,59,Miscellaneous Retail Stores,16010,134800,32199,MA,Loan Masters
224816094,30074,45000,57375,1.0483,12.5,9416.24,29673.6,29673.6,O,S4,635,3,36,24,0,4,LLC,1,0,58,Eating and Drinking Places,24808,183400,59196,MA,Credit Divas
332514342,2919,7400,8843,0.6602,12.5,148,7082.46,7082.66667,R,S1,517,9,32,7,3,6,LLC,1,0,75,Auto Repair Services and Parking,35512,134800,33092,GA,Loan Masters
248919819,2557,6000,7050,0.7254,12.5,405,6237.54,12070,R,S1,463,3,27,13,14,3,LLC,3,0,57,Home Furniture and Furnishings Stores,27057,86600,29349,FL,Loan Masters
203118929,2898,6200,7285,0.7956,12.5,732.38,5533.5,5533.5,O,S1,546,36,29,14,0,3,LLC,4,0,27,Printing Publishing and Allied Industries,22869,84100,38569,MI,Loan Masters
36216707,6389,11500,13512.5,0.9456,5,1319.62,38710.5,38710.5,O,S2,593,6,24,6,1,4,LLC,1,0,75,Auto Repair Services and Parking,4347,172700,63945,NY,Loan Masters
297917327,7962,22000,27280,0.5837,10,2604.8,27440.7,30602,R,S3,412,1,9,2,13,13,LLC,0,9,58,Eating and Drinking Places,31671,136500,38733,NJ,Credit Divas
158112095,13262,18000,21420,1.2383,12.5,2484,14255.14,15291.0769,O,S2,549,27,27,15,1,9,LLC,0,0,7,Agricultural Services,18659,132300,55904,GA,Credit Divas
204211981,13105,35600,42364,0.6187,5,4912.8,70094.06,73827.6,O,S3,583,11,45,18,0,6,LLC,6,2,41,Local/Suburban Transit and Highway Passenger,22951,130900,32558,WI,Credit Divas
246912835,7603,17700,21652,0.7023,12.5,2260.84,11145.88,33464,O,S2,632,5,11,6,1,3,LLC,0,0,54,Food Stores,26787,137300,35371,MA,Loan Masters
209611693,9570,18800,22372,0.8555,12.5,1014.42,16336,17616,R,S2,603,2,30,22,0,12,S-Corp,0,0,75,Auto Repair Services and Parking,23510,133700,41877,NC,Loan Masters
